_id,poboacion,superficie,comunidade
Álava,321932,3037,País Vasco
Albacete,395007,14926,Castilla-La Mancha
Alicante,1842963,5817,Comunidad Valenciana
Almería,690851,8775,Andalucía
Asturias,1041754,10603,Asturias
Ávila,165786,8050,Castilla y León
Badajoz,686032,21766,Extremadura
Barcelona,5427322,7733,Cataluña
Burgos,366900,14022,Castilla y León
Cáceres,405560,19868,Extremadura
Cádiz,1248625,7440,Andalucía
Cantabria,588656,5321,Cantabria
Castellón,574906,6636,Comunidad Valenciana
CiudadReal,514543,19813,Castilla-La Mancha
Córdoba,795718,13771,Andalucía
A Coruña,1128807,7950,Galicia
Cuenca,206653,17140,Castilla-La Mancha
Girona,740537,5909,Cataluña
Granada,919329,12646,Andalucía
Guadalajara,254388,12214,Castilla-La Mancha
Guipuzkoa,707298,1997,País Vasco
Huelva,522216,10127,Andalucía
Huesca,221942,15636,Aragón
Islas Baleares,1124744,4991,Islas Baleares
Jaén,652253,13496,Andalucía
León,480209,15580,Castilla y León
Lleida,430655,12172,Cataluña
Lugo,338873,9856,Galicia
Madrid,6377364,8027,Comunidad de Madrid
Málaga,1632949,7306,Andalucía
Murcia,1463249,11313,Región de Murcia
Navarra,636638,10391,Navarra
Ourense,318739,7273,Galicia
Palencia,165782,8052,Castilla y León
Las Palmas,1106779,4065,Canarias
Pontevedra,948496,4494,Galicia
La Rioja,319002,5045,La Rioja
Salamanca,342045,12349,Castilla y León
Santa Cruz de Tenerife,1021868,3381,Canarias
Segovia,158085,6920,Castilla y León
Sevilla,1939625,14036,Andalucía
Soria,92221,10306,Castilla y León
Tarragona,792619,6302,Cataluña
Teruel,137838,14809,Aragón
Toledo,699136,15369,Castilla-La Mancha
Valencia,2521681,10807,Comunidad Valenciana
Valladolid,527508,8110,Castilla y León
Bizkaia,1151905,2217,País Vasco
Zamora,184238,10561,Castilla y León
Zaragoza,960111,17274,Aragón
Ceuta,84726,18.5,Ceuta
Melilla,84621,13.4,Melilla
